"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"no running account",36.0,"no problems with current credits at this bank","retraining",2145.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","less than 1 year","savings contract with a building society/Life insurance",24.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",48.0,"hesistant payment of previous credits","retraining",12204.0,"greater than 1000 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",48.0,"at other banks","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",36.0,"no previous credits or paid back","used car",10974.0,"no savings","unemployed","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",26.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no running account",24.0,"paid back previous credits at this bank","new car",6419.0,"no savings","greater than 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",44.0,"no further running credits","owner","2 or 3","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no balance",15.0,"paid back previous credits at this bank","items of furniture",1537.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","guarantor","greater than 7 years","no assets",50.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",15.0,"paid back previous credits at this bank","items of furniture",1471.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",35.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",27.0,"paid back previous credits at this bank","items of furniture",2520.0,"between 100 and 500 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",23.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","bad"
"no running account",18.0,"no previous credits or paid back","repair",750.0,"no savings","unemployed","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",27.0,"no further running credits","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","bad"
">=200 DM",6.0,"no problems with current credits at this bank","retraining",1743.0,"less than 100 DM","between 1 and 4 years","greater than 35","male:single","none","between 1 and 4 years","no assets",34.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",42.0,"no previous credits or paid back","items of furniture",7166.0,"greater than 1000 DM","between 4 and 7 years","between 25 and 35","male:married/widowed","none","greater than 7 years","car/other",29.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",48.0,"no previous credits or paid back","new car",4788.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","car/other",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no balance",24.0,"problematic running accounts","repair",1837.0,"no savings","between 4 and 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",34.0,"at other banks","owner","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",24.0,"paid back previous credits at this bank","other",3878.0,"less than 100 DM","less than 1 year","less than 20","male:divorced/living apart","none","between 1 and 4 years","savings contract with a building society/Life insurance",37.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",48.0,"no previous credits or paid back","business",5381.0,"greater than 1000 DM","unemployed","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",40.0,"at other banks","owner","one","unemployed/unskilled with no permaant residence","3 and more","yes","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","used car",2028.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","between 1 and 4 years","car/other",30.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","other",1884.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",39.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",48.0,"no problems with current credits at this bank","business",7582.0,"less than 100 DM","unemployed","between 25 and 35","male:single","none","greater than 7 years","ownership of house or land",31.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",33.0,"paid back previous credits at this bank","new car",7253.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",35.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",12.0,"no previous credits or paid back","items of furniture",1567.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",22.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",12.0,"no previous credits or paid back","items of furniture",1155.0,"no savings","greater than 7 years","between 20 and 25","male:married/widowed","guarantor","between 4 and 7 years","no assets",40.0,"at other banks","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",36.0,"paid back previous credits at this bank","other",7855.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","no assets",25.0,"at department store or mail order house","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",12.0,"no previous credits or paid back","used car",1289.0,"no savings","between 1 and 4 years","less than 20","male:single","guarantor","less than 1 year","car/other",21.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",6.0,"paid back previous credits at this bank","items of furniture",1169.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",67.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",30.0,"paid back previous credits at this bank","other",4249.0,"no savings","unemployed","less than 20","male:married/widowed","none","between 1 and 4 years","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","no","yes","bad"
"no running account",12.0,"no previous credits or paid back","radio/television",741.0,"less than 100 DM","unemployed","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","car/other",22.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",9.0,"paid back previous credits at this bank","other",2134.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",48.0,"no further running credits","rented","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",6.0,"paid back previous credits at this bank","items of furniture",1382.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",42.0,"no previous credits or paid back","items of furniture",3965.0,"no savings","less than 1 year","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",34.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",9.0,"no previous credits or paid back","items of furniture",2118.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","no assets",37.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","yes","good"
">=200 DM",15.0,"no problems with current credits at this bank","items of furniture",1478.0,"no savings","between 1 and 4 years","less than 20","male:married/widowed","none","between 4 and 7 years","no assets",33.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",15.0,"no previous credits or paid back","other",5324.0,"between 100 and 500 DM","greater than 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",35.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",27.0,"no previous credits or paid back","items of furniture",3416.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",27.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","other",1216.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","savings contract with a building society/Life insurance",23.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"<= 200 DM",24.0,"paid back previous credits at this bank","items of furniture",3148.0,"greater than 1000 DM","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",31.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",24.0,"no previous credits or paid back","new car",4113.0,"between 100 and 500 DM","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",28.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","other",1249.0,"no savings","less than 1 year","less than 20","male:married/widowed","none","between 1 and 4 years","no assets",28.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",6.0,"no previous credits or paid back","used car",2978.0,"between 100 and 500 DM","between 1 and 4 years","greater than 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",32.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","retraining",1264.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",57.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","items of furniture",6070.0,"no savings","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",33.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","new car",5804.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","no assets",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","used car",7721.0,"greater than 1000 DM","less than 1 year","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","car/other",30.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","no","good"
